Edge_Name,Global_Saliency_Mean,Global_Contrib_Mean,Contrib_Std,Robustness_Z_Score
csf <-> optic_chiasm,6.177885111338832e-07,-2.5807117775778347e-08,1.7547873895053337e-06,-0.014623357991589021
left_cerebellum_cortex <-> rh_lateraloccipital,6.14259655510855e-07,5.7732373408068194e-08,1.2186084424748308e-06,0.04699005103023366
left_vessel <-> rh_rostralanteriorcingulate,6.084567064888429e-07,-4.6425682811044244e-08,1.90718417312097e-06,-0.02421555709771389
lh_parstriangularis <-> rh_inferiorparietal,6.042430609664557e-07,-6.195514363843587e-08,2.619944270668108e-06,-0.023557588017900036
lh_lateraloccipital <-> right_cerebral_white_matter,6.026796650365534e-07,-4.895597217700777e-08,1.3315942152093753e-06,-0.036490893909651725
left_cerebellum_cortex <-> rh_inferiorparietal,6.01022284751438e-07,2.9132441150572753e-08,7.2946073250327e-07,0.039396873789297425
rh_corpuscallosum <-> rh_superiorparietal,5.990865302900114e-07,-2.6729065341759254e-08,9.606369974394077e-07,-0.027537653532960272
left_cerebellum_white_matter <-> rh_corpuscallosum,5.946159148210127e-07,-2.4537795095522594e-08,6.816268131479228e-07,-0.035478374506389375
rh_entorhinal <-> right_lateral_ventricle,5.921248173061453e-07,-4.3845951334417106e-08,1.278903007118467e-06,-0.034018037891339246
lh_inferiorparietal <-> lh_rostralmiddlefrontal,5.907818467633828e-07,-3.523368155535678e-08,1.668079275846422e-06,-0.020996434472730696
brain_stem <-> right_lateral_ventricle,5.888891985293245e-07,-2.6038335898578795e-08,9.489348873729334e-07,-0.02715339304205791
lh_corpuscallosum <-> rh_lateraloccipital,5.873039665939257e-07,-6.424533825532348e-08,1.6024629549036783e-06,-0.03984298557678259
lh_lateraloccipital <-> right_lateral_ventricle,5.865652431903787e-07,-4.5712550897473166e-08,1.2283308826582883e-06,-0.03691464982230225
right_cerebellum_white_matter <-> right_lateral_ventricle,5.84543475726489e-07,-4.070004636867466e-08,1.7362222473676586e-06,-0.02330748358636933
rh_caudalmiddlefrontal <-> rh_superiorparietal,5.840720447682979e-07,-6.488232279621754e-08,1.9354987702543237e-06,-0.033349968547004456
fourth_ventricle <-> lh_rostralmiddlefrontal,5.787955255863302e-07,-2.993506522846794e-08,1.0632829722227429e-06,-0.027891120984127004
rh_lateraloccipital <-> rh_superiorfrontal,5.760310704758939e-07,-3.5317610003401685e-08,1.0236671460598129e-06,-0.03416729470219424
left_cerebellum_white_matter <-> lh_inferiorparietal,5.713315621538259e-07,4.9357189339539034e-08,1.2016453132965492e-06,0.04073567470438348
lh_superiorparietal <-> rh_superiorfrontal,5.703154742259221e-07,-3.9272074120445835e-08,1.005005080094356e-06,-0.03869150498911302
fourth_ventricle <-> lh_rostralanteriorcingulate,5.691626842838487e-07,-3.8459537546175536e-08,2.4147681684333834e-06,-0.015861119445090634
lh_entorhinal <-> rh_postcentral,5.688036974194773e-07,-3.433623229305285e-08,9.677454998198608e-07,-0.03511776050043589
lh_superiorfrontal <-> lh_superiorparietal,5.670924430729285e-07,-5.5186542324961294e-08,2.360224549426575e-06,-0.023283254887522153
left_cerebellum_white_matter <-> rh_lateraloccipital,5.663859062227626e-07,6.013076179966091e-08,1.2657503979611892e-06,0.047133641420576855
cc_anterior <-> fourth_ventricle,5.608955323590165e-07,-1.6707944636141376e-08,7.779399311398505e-07,-0.02120459184238995
lh_superiorparietal <-> rh_corpuscallosum,5.590992721797162e-07,-5.083839779779823e-08,1.987905967765354e-06,-0.02544584110465453
lh_rostralanteriorcingulate <-> right_inf_lat_vent,5.587654897531326e-07,-6.721532770902928e-08,3.4709770533203436e-06,-0.019309328007467236
left_cerebellum_cortex <-> rh_superiorparietal,5.572545785015065e-07,4.8043467109817645e-08,1.1702702687547538e-06,0.04070547939880413
cc_anterior <-> cc_central,5.544776391711701e-07,-3.8248715660716694e-08,1.8688848616127498e-06,-0.02035713653463881
cc_central <-> rh_rostralanteriorcingulate,5.542999476231361e-07,-1.7528425891778885e-08,2.143205956073156e-06,-0.008140617409282026
lh_corpuscallosum <-> lh_lateraloccipital,5.533374690216154e-07,-3.852987625032511e-08,1.0856374409939922e-06,-0.03516662977067465
left_cerebellum_cortex <-> rh_entorhinal,5.492844790533399e-07,4.305153417148643e-08,1.031796790557261e-06,0.04132431061575646
rh_lateraloccipital <-> right_thalamus,5.479674580422394e-07,-7.343817650608332e-08,2.8602301944890063e-06,-0.025586162617579768
left_vessel <-> rh_supramarginal,5.476638298784295e-07,-5.109199169174723e-08,1.2977098090913715e-06,-0.03906982369983688
rh_corpuscallosum <-> rh_inferiorparietal,5.476456720040577e-07,-4.3351733043156806e-08,1.1699431314445325e-06,-0.036740527477865756
cc_mid_anterior <-> lh_parsorbitalis,5.463383851836059e-07,-4.9578367529409505e-08,1.914281993063264e-06,-0.02576460607547739
lh_lateraloccipital <-> lh_parstriangularis,5.45910627769264e-07,-2.4176269654062266e-08,1.137140782420187e-06,-0.02107524204924198
left_cerebellum_white_matter <-> rh_inferiorparietal,5.430544791359741e-07,3.649744269537046e-08,9.810601405659373e-07,0.03682666793009038
cc_mid_anterior <-> rh_precentral,5.425003365325098e-07,-4.8409602543160586e-08,1.288530919172758e-06,-0.03728028484219722
left_cerebellum_cortex <-> lh_entorhinal,5.407842361441244e-07,3.3763088923916934e-08,7.707335783524701e-07,0.04324533984456634
left_cerebellum_white_matter <-> rh_caudalmiddlefrontal,5.404150304317629e-07,-2.4377801335625716e-09,9.137649579533932e-07,-0.002638961472367915
left_cerebellum_cortex <-> lh_inferiorparietal,5.386131525578884e-07,3.312909243332112e-08,8.076454852300797e-07,0.04051767304016707
left_cerebellum_white_matter <-> rh_posteriorcingulate,5.381424278419197e-07,-2.2862499016714657e-08,9.137076680957056e-07,-0.024750794874148285
left_vessel <-> rh_superiorfrontal,5.353157177339884e-07,-2.750749858205669e-08,1.037958495085962e-06,-0.026248652700506338
cc_mid_anterior <-> rh_corpuscallosum,5.351897242747937e-07,-2.9472935767011536e-08,1.1353075345582987e-06,-0.025733643478018438
rh_lateraloccipital <-> rh_lateralorbitofrontal,5.350622037501504e-07,-2.4537779150724054e-08,8.495642404414221e-07,-0.02854676590329407
rh_superiorparietal <-> right_lateral_ventricle,5.332879689798956e-07,-4.9608960444543694e-08,2.099155744198552e-06,-0.023520766819139935
cc_mid_anterior <-> left_cerebral_white_matter,5.330633904252247e-07,-3.2800454805348724e-08,1.593142873417223e-06,-0.020460094573749386
left_cerebellum_white_matter <-> right_vessel,5.324617549536952e-07,3.6706831502371073e-08,1.2916895241354695e-06,0.02819937536698722
optic_chiasm <-> rh_caudalmiddlefrontal,5.283157715791859e-07,-3.787622491136039e-08,1.0688580508685837e-06,-0.035107700110191896
rh_inferiorparietal <-> rh_parstriangularis,5.237430371104555e-07,-2.9680485520342085e-08,8.108551379254672e-07,-0.03615800663117375
cc_mid_posterior <-> optic_chiasm,5.228189896950916e-07,-3.855075652141196e-08,1.4591087841680996e-06,-0.02624091349589322
left_cerebellum_white_matter <-> right_cerebral_white_matter,5.223225916489944e-07,-3.817753491851734e-08,1.3079179493695243e-06,-0.028968066590777528
left_cerebellum_white_matter <-> left_vessel,5.218556785290915e-07,4.8054149105274356e-08,1.2070032684705137e-06,0.03948563685097337
lh_rostralmiddlefrontal <-> rh_lateraloccipital,5.202444234636415e-07,-5.08034101474017e-08,2.1908168062183236e-06,-0.023083888674358816
lh_superiorfrontal <-> rh_lateraloccipital,5.198269274786255e-07,-4.6460267370979225e-08,1.83812234411441e-06,-0.025139173020086086
cc_mid_anterior <-> lh_postcentral,5.163646923637918e-07,-2.611526851482802e-08,1.0320979586775766e-06,-0.02506028180687382
cc_anterior <-> rh_entorhinal,5.157360886658588e-07,-5.0764881977317504e-08,1.7626328360043906e-06,-0.028638125699930208
lh_pericalcarine <-> optic_chiasm,5.115460565010995e-07,4.709991656285338e-09,1.3388133762520072e-06,0.0034919520663215468
lh_parsopercularis <-> optic_chiasm,5.107780184567836e-07,-1.0477105658285696e-08,1.1626359087412348e-06,-0.00893466214038451
cc_anterior <-> rh_lateraloccipital,5.078682848312036e-07,-7.758192044681895e-08,2.919045974051979e-06,-0.02648709550280421
cc_anterior <-> rh_superiorparietal,5.076601557400469e-07,-5.703434657988601e-08,1.859446818714743e-06,-0.030508675619399274
cc_mid_anterior <-> lh_rostralmiddlefrontal,5.062095036858031e-07,-3.452313857709403e-08,1.6178907177395048e-06,-0.021207282651646907
brain_stem <-> right_cerebral_white_matter,5.028157978258163e-07,-3.4046044598746064e-08,1.1273726919475105e-06,-0.029933938839738983
left_lateral_ventricle <-> lh_lateraloccipital,4.987728375062296e-07,-2.4476390689368573e-08,9.113843951823477e-07,-0.026564798380945602
left_cerebellum_white_matter <-> lh_rostralmiddlefrontal,4.977085301151136e-07,-2.487391865912833e-08,1.2266940491206803e-06,-0.02011323550623883
lh_lingual <-> optic_chiasm,4.951315424498236e-07,-1.2723163621457376e-08,1.3098329493564892e-06,-0.009639980292703564
cc_anterior <-> cc_mid_anterior,4.921673220866914e-07,-3.5086633858990294e-08,1.5141896534805238e-06,-0.023019860933230402
left_cerebellum_white_matter <-> lh_rostralanteriorcingulate,4.877972943153311e-07,-2.5071753044539648e-08,2.1922906241883205e-06,-0.011384398030473445
lh_lateraloccipital <-> rh_postcentral,4.868271586285241e-07,-3.643639697075701e-08,9.45489996834332e-07,-0.0381337293864674
cc_central <-> lh_frontalpole,4.864487314606034e-07,-8.337866878325637e-09,1.4800037032957632e-06,-0.005595869902794856
lh_entorhinal <-> lh_superiorfrontal,4.854185758563375e-07,-4.6772338423125103e-08,1.6916226010317967e-06,-0.02748690479003053
lh_entorhinal <-> rh_rostralanteriorcingulate,4.844201336438677e-07,-2.554999658069819e-08,1.4078371990666944e-06,-0.01802040219957322
rh_superiorfrontal <-> rh_superiorparietal,4.827783925307737e-07,-3.605483328058341e-08,8.8340424120669e-07,-0.040356684709583875
cc_anterior <-> left_vessel,4.819836853000813e-07,-4.984468577011162e-08,1.9721090394375463e-06,-0.025147297539319942
optic_chiasm <-> right_caudate,4.818419139813019e-07,-4.324783239876405e-08,1.5791592883909262e-06,-0.027214284127901264
left_cerebellum_white_matter <-> lh_caudalmiddlefrontal,4.815261837684579e-07,-4.487838905159199e-09,1.98755132325529e-06,-0.0022466701370384
rh_posteriorcingulate <-> rh_temporalpole,4.812904470635614e-07,-3.15060343277611e-08,9.964693296337305e-07,-0.03130352152829797
lh_parsorbitalis <-> rh_lateraloccipital,4.811652707870595e-07,-2.9298228743298866e-08,1.2227063286213447e-06,-0.023767403527542464
lh_superiorparietal <-> right_cerebral_white_matter,4.805994438165964e-07,-8.540205791989644e-08,3.5484001752287773e-06,-0.02400012750516621
left_cerebellum_white_matter <-> lh_corpuscallosum,4.793415437400275e-07,-2.385173811742032e-08,1.4969376720572678e-06,-0.01582795264840515
left_cerebellum_white_matter <-> lh_entorhinal,4.766068954343061e-07,4.912735159369988e-08,1.3487788851434703e-06,0.03615551590538047
left_vessel <-> rh_corpuscallosum,4.7435286588868905e-07,-1.1856128172111352e-08,1.1214953431606022e-06,-0.010478282781963263
optic_chiasm <-> rh_lateralorbitofrontal,4.7135861563703507e-07,-2.380280757781688e-08,7.001807357280387e-07,-0.033516549211118116
left_vessel <-> rh_postcentral,4.71033555162451e-07,-5.0563352635954495e-08,1.4046864285208437e-06,-0.035741738675490166
optic_chiasm <-> right_pallidum,4.699715346225262e-07,-1.824403483184067e-08,2.225867285468747e-06,-0.008159712765785124
fourth_ventricle <-> rh_corpuscallosum,4.6787325932319695e-07,-4.0364618953160235e-08,1.7996580618133938e-06,-0.02230510824388133
rh_posteriorcingulate <-> right_amygdala,4.6750009829353e-07,-2.687235547490969e-08,7.848028542552582e-07,-0.03381008929577823
left_caudate <-> rh_superiorparietal,4.6675960820397627e-07,-2.1006625185405384e-08,8.264208178350976e-07,-0.02511489998512554
lh_caudalanteriorcingulate <-> optic_chiasm,4.642134696749987e-07,-2.38561218248831e-08,1.0805095983385205e-06,-0.021876122742275565
fourth_ventricle <-> rh_rostralanteriorcingulate,4.6340001608087676e-07,-1.1820060936354886e-08,6.546029920215152e-07,-0.017785145535384884
left_cerebellum_white_matter <-> rh_entorhinal,4.623106759551573e-07,2.1112760297340475e-08,7.436182009828112e-07,0.02801519425858721
rh_superiorparietal <-> right_cerebral_white_matter,4.608000563932998e-07,-4.573209878105133e-08,2.022710710329388e-06,-0.02249808521628773
fourth_ventricle <-> lh_superiorfrontal,4.5904894426974707e-07,-2.0675461086848025e-08,9.512303170128867e-07,-0.021509372645568396
left_vessel <-> lh_superiorfrontal,4.585949235991662e-07,-3.766182014376242e-08,1.133228866102054e-06,-0.03294337753399626
fourth_ventricle <-> rh_posteriorcingulate,4.5500183209194406e-07,-1.0083730318492836e-08,1.831355043500048e-06,-0.005476255301272958
left_vessel <-> right_cerebral_white_matter,4.544027546061978e-07,-3.247094312332206e-08,1.1776019897547808e-06,-0.027341603839874627
left_cerebellum_white_matter <-> rh_postcentral,4.5189860436272787e-07,-2.5328334561787628e-08,1.0547146408090653e-06,-0.023788847819863637
cc_anterior <-> left_cerebellum_white_matter,4.5168800870363087e-07,-1.5602745511580387e-08,1.4380363993141838e-06,-0.010775105873699122
lh_entorhinal <-> lh_rostralanteriorcingulate,4.5078957353766694e-07,-4.378151093699612e-08,2.3420937028009863e-06,-0.018613846414732113
right_cerebellum_white_matter <-> right_cerebral_white_matter,4.499983835101491e-07,-3.344323528254962e-08,1.5128896649275537e-06,-0.02196037969969451
fourth_ventricle <-> rh_postcentral,4.497538921736095e-07,-3.551863390138715e-08,1.0961562132501416e-06,-0.03210996193478426
lh_frontalpole <-> optic_chiasm,4.4822674965629706e-07,-2.8955520522113223e-08,7.979498314587877e-07,-0.0358382654401113
lh_caudalmiddlefrontal <-> rh_superiorparietal,4.4772014644015754e-07,-1.4695966640863133e-08,6.30055442641086e-07,-0.02296045883185148
lh_inferiorparietal <-> right_cerebral_white_matter,4.4668309401935717e-07,-4.216541616538218e-08,1.4544616131532096e-06,-0.028792435244918164
csf <-> rh_superiorparietal,4.4644021533273964e-07,-9.38332237844035e-09,4.5015577492060885e-07,-0.020391621467880663
lh_superiorfrontal <-> rh_inferiorparietal,4.462965836374382e-07,-3.363980261591297e-08,1.190349179814696e-06,-0.02802501403892001
lh_parsorbitalis <-> rh_superiorparietal,4.4513462281873914e-07,-2.3517150259293305e-08,1.0011186826608338e-06,-0.023258545868627592
rh_inferiorparietal <-> right_lateral_ventricle,4.444685745671477e-07,-4.4554860470221936e-08,1.2333536807063745e-06,-0.035834421984345936
rh_entorhinal <-> rh_posteriorcingulate,4.435061664424182e-07,-2.9694295199834408e-08,8.598679006615097e-07,-0.03413655703038673
lh_rostralanteriorcingulate <-> rh_lateraloccipital,4.4331332749910264e-07,-3.799723512777283e-08,1.3689068303778905e-06,-0.02755605693631937
left_lateral_ventricle <-> rh_entorhinal,4.422173033537533e-07,-2.3594559178018978e-08,9.295401106389899e-07,-0.025112881196708143
lh_rostralmiddlefrontal <-> right_inf_lat_vent,4.4100926529166016e-07,-1.9605652593370255e-08,1.142878792571865e-06,-0.017005822918846114
lh_superiorparietal <-> rh_rostralanteriorcingulate,4.4030567757173924e-07,-3.697797282757676e-08,1.4291596800395436e-06,-0.025694141755389314
fourth_ventricle <-> lh_caudalmiddlefrontal,4.395352194880568e-07,-1.776978533424019e-08,1.0773870068082773e-06,-0.016341730426224665
lh_temporalpole <-> rh_corpuscallosum,4.392722525501106e-07,-4.4204501326111544e-08,1.3341631524509055e-06,-0.03288626179456744
lh_entorhinal <-> rh_superiorfrontal,4.39005562203234e-07,-3.726217259874245e-08,1.1639821657418156e-06,-0.03173998182093102
optic_chiasm <-> rh_fusiform,4.385685855261689e-07,-3.03812126384535e-08,2.391167149517159e-06,-0.012652685442811732
lh_posteriorcingulate <-> rh_lateraloccipital,4.382424887449638e-07,-1.218568408425904e-08,8.982590524284306e-07,-0.013416529184793623
left_caudate <-> rh_lateraloccipital,4.3793351995034493e-07,-3.3021928097655236e-08,1.3448650099855756e-06,-0.02437285475252387
rh_inferiorparietal <-> rh_rostralmiddlefrontal,4.3761203401135144e-07,-4.081463509137163e-08,1.615067018571297e-06,-0.02511566269264049
left_caudate <-> lh_lateraloccipital,4.362850447935497e-07,-3.998794464892812e-08,1.3569637485081165e-06,-0.02925311274170245
left_amygdala <-> right_cerebral_white_matter,4.341494911117588e-07,-4.864811766691707e-08,2.4342666716711877e-06,-0.019902950128455298
left_accumbens_area <-> left_cerebellum_cortex,4.3402336765783925e-07,4.669115728224765e-08,1.1334472763725774e-06,0.040833677465539696
rh_lateraloccipital <-> rh_rostralanteriorcingulate,4.30479012558951e-07,-3.8352625159948906e-08,1.0742423746065544e-06,-0.035372741425888435
lh_caudalmiddlefrontal <-> rh_temporalpole,4.291027154009798e-07,-2.972090127963731e-08,1.292836217576653e-06,-0.022812461672979758
lh_inferiorparietal <-> lh_superiorfrontal,4.270185535561256e-07,-2.8733399215497002e-08,8.774944735489631e-07,-0.032375862691962756
left_cerebellum_cortex <-> left_vessel,4.264798774082432e-07,2.9452209150250733e-08,6.640417181276993e-07,0.04369493513259207
rh_rostralanteriorcingulate <-> right_inf_lat_vent,4.25331236950588e-07,-4.6567622559055975e-08,2.320521421216293e-06,-0.01998163249439366
fourth_ventricle <-> left_lateral_ventricle,4.252600597504575e-07,-2.292674305219104e-08,8.31442821232054e-07,-0.027246941174946783
rh_inferiorparietal <-> rh_lateralorbitofrontal,4.249319175322741e-07,-2.985617205582399e-08,1.8477685975863734e-06,-0.01607098542553327
lh_parsorbitalis <-> lh_superiorparietal,4.2449604878826345e-07,-8.88768889894712e-09,4.954477029621763e-07,-0.017583795211375618
left_cerebellum_white_matter <-> right_lateral_ventricle,4.2390013592414057e-07,-4.407677085871004e-08,1.830413434104707e-06,-0.02394938552497133
rh_posteriorcingulate <-> rh_superiorparietal,4.238673252215047e-07,-2.6975031218139844e-08,8.598901142668621e-07,-0.03100969970313346
